feature,shap_importance
사고유형,0.09362385305241167
도로형태,0.025040815383896325
holiday,0.021289335664546997
Cosine_Time,0.01786352434843334
weekday,0.014466942026935119
사고발생횟수,0.008198864107448835
주차장개수,0.008153932753596676
불법주정차,0.00177189108790375
시군구,0.0012138506613083048
노면상태,0.0011359883934784958
기상상태,0.0010977909489236011
요일,0.0010730281361462119
구,0.0010044425095321208
군_달성군,0.0008736862171627981
보호구역,0.0008482418470728107
설치개수,0.0007028618348611681
군_북구,0.0005170341804583295
평지도로,0.00047349025165008024
차량전용,0.00029448412365157153
season,0.00022848336970101787
어린이보호구역개수,0.00011206905893924388
군_남구,9.864811798283878e-05
군_서구,5.8273597425508454e-05
군_중구,5.826384524217936e-05
군_달서구,5.23978846685066e-05
군_동구,2.92437355943139e-05
군_수성구,1.0166950890854176e-05
