feature,shap_importance
Ensemble_prediction,0.04573273976913536
47_Xgboost_GoldenFeatures_prediction,0.03689253686881905
51_CatBoost_prediction,0.035430861561849505
44_Xgboost_GoldenFeatures_prediction,0.029372584062018085
14_LightGBM_GoldenFeatures_prediction,0.023510487608418704
48_LightGBM_GoldenFeatures_prediction,0.02156161479608581
72_CatBoost_prediction,0.019733664164422734
41_Xgboost_prediction,0.01919705361558019
68_LightGBM_GoldenFeatures_prediction,0.018456235886986826
73_CatBoost_prediction,0.013673250132794058
46_Xgboost_GoldenFeatures_prediction,0.01360424190571504
50_CatBoost_prediction,0.013408793809507403
70_CatBoost_prediction,0.012469322075206778
23_CatBoost_prediction,0.011275220054721055
66_Xgboost_prediction,0.011159494145568914
65_Xgboost_prediction,0.010676552918758197
52_CatBoost_prediction,0.009535358922528535
74_CatBoost_prediction,0.009049487423471784
14_LightGBM_prediction,0.008759144868849758
45_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.007947689901808792
14_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0077267231082145255
37_RandomForest_prediction,0.007110954984474421
59_RandomForest_prediction,0.006978690582300334
10_Xgboost_categorical_mix_prediction,0.006834708758963839
67_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.006649135237682063
61_Xgboost_prediction,0.006644888469936622
60_Xgboost_prediction,0.006411118897895126
22_LightGBM_prediction,0.00525390758579131
10_Xgboost_categorical_mix_GoldenFeatures_prediction,0.004684682369479754
64_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.004519372709397602
40_RandomForest_prediction,0.004514214483246378
49_LightGBM_prediction,0.0044862124221630465
56_RandomForest_prediction,0.003721408010649373
36_RandomForest_prediction,0.0034502211819492003
58_RandomForest_prediction,0.003143694309137151
55_RandomForest_prediction,0.0031124644985391398
75_RandomForest_prediction,0.0028929871592687675
31_CatBoost_prediction,0.002837801344102896
35_RandomForest_prediction,0.002664030491369281
57_RandomForest_prediction,0.002107212308967055
25_CatBoost_prediction,0.0019798169241114403
시군구,0.0014450489854100734
사고유형,0.0010088488802292212
Cosine_Time,0.0009602497380921062
weekday,0.0007834107963859712
사고발생횟수,0.0006977996341073196
군_달성군,0.0005964299491387558
요일,0.0005302770374719292
도로형태,0.0004897910418830114
설치개수,0.0004748436098591272
군_동구,0.00039325545716405224
구,0.00033052415604805415
주차장개수,0.00032950773153106005
평지도로,0.0003167273606136571
season,0.00030152588779830034
기상상태,0.0002636508133826129
차량전용,9.388758091424598e-05
군_달서구,7.108401257999545e-05
보호구역,0.0
불법주정차,0.0
노면상태,0.0
어린이보호구역개수,0.0
군_남구,0.0
군_북구,0.0
군_서구,0.0
군_수성구,0.0
군_중구,0.0
holiday,0.0
