feature,mean_importance
기상상태,-0.0027754553826928375
48_LightGBM_GoldenFeatures_prediction,-0.0013837608175850669
사고발생횟수,-0.0006409110031838194
주차장개수,-0.0005945217441934991
35_RandomForest_prediction,-0.000359679155874848
설치개수,-0.00030231655283330383
군_중구,-0.0002952611861779753
49_LightGBM_prediction,-0.00024254920499950928
군_달성군,-0.00023164189549469417
36_RandomForest_prediction,-0.00018703973415654663
어린이보호구역개수,-3.409577530526509e-05
40_RandomForest_prediction,-4.206472099110847e-06
군_달서구,0.0
군_남구,0.0
군_북구,0.0
시군구,5.029200457307148e-06
군_서구,8.123526712675578e-05
차량전용,8.430556484744223e-05
weekday,0.0001816793339627143
55_RandomForest_prediction,0.00018510130006672566
군_동구,0.00019165446358935246
군_수성구,0.0001977725252628293
22_LightGBM_prediction,0.00022879378479738753
season,0.0002466045425239427
구,0.0002526511957557487
요일,0.000273352557266171
불법주정차,0.0002849880959633122
45_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0003070250124689089
보호구역,0.00030964457935376275
holiday,0.00032841037562731935
23_CatBoost_prediction,0.00041861472535829056
58_RandomForest_prediction,0.0005052586240682944
평지도로,0.0005207813641415094
75_RandomForest_prediction,0.0005246700646551305
52_CatBoost_prediction,0.0006390355976756857
68_LightGBM_GoldenFeatures_prediction,0.0007033501539084996
59_RandomForest_prediction,0.0007108343011372087
Cosine_Time,0.0007590853404985554
도로형태,0.0008255944243584556
50_CatBoost_prediction,0.0009219033050062331
사고유형,0.0012131884972711004
44_Xgboost_GoldenFeatures_prediction,0.001239029856447127
Ensemble_prediction,0.0012574510934277416
10_Xgboost_categorical_mix_prediction,0.0013033260881027964
14_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0014264184915043332
14_LightGBM_prediction,0.0016347358630915076
60_Xgboost_prediction,0.0016941553724198143
37_RandomForest_prediction,0.0018161975875771396
노면상태,0.0018207102023491295
74_CatBoost_prediction,0.0019390308837688552
25_CatBoost_prediction,0.002012626768103809
64_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.002208797291814002
61_Xgboost_prediction,0.0024508030892701703
73_CatBoost_prediction,0.0027153506394439696
66_Xgboost_prediction,0.0028327694731510753
72_CatBoost_prediction,0.002833065354432107
14_LightGBM_GoldenFeatures_prediction,0.002898716134385859
47_Xgboost_GoldenFeatures_prediction,0.0029245876777129086
10_Xgboost_categorical_mix_GoldenFeatures_prediction,0.002944838758307711
57_RandomForest_prediction,0.0029784623795529484
41_Xgboost_prediction,0.003517766254015586
70_CatBoost_prediction,0.0036493268145309397
67_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.003749092193168124
46_Xgboost_GoldenFeatures_prediction,0.004130766455080837
31_CatBoost_prediction,0.004407381465659088
56_RandomForest_prediction,0.004552856103442559
65_Xgboost_prediction,0.005727932221176535
51_CatBoost_prediction,0.006656320079562361
