name,model_type,metric_type,metric_value,train_time
40_RandomForest_Stacked,Random Forest,rmse,0.44454229863021355,816.54
60_Xgboost_Stacked,Xgboost,rmse,0.4448644435626004,62.98
64_LightGBM_GoldenFeatures_SelectedFeatures_Stacked,LightGBM,rmse,0.44496730183278127,44.66
23_CatBoost_Stacked,CatBoost,rmse,0.44463899948664315,159.6
36_RandomForest_Stacked,Random Forest,rmse,0.4445984211072222,1048.61
46_Xgboost_GoldenFeatures_Stacked,Xgboost,rmse,0.4448695305439898,51.0
14_LightGBM_GoldenFeatures_SelectedFeatures_Stacked,LightGBM,rmse,0.4448389946776493,43.0
70_CatBoost_Stacked,CatBoost,rmse,0.4446474761412255,262.27
57_RandomForest_Stacked,Random Forest,rmse,0.4446306750893954,1033.92
65_Xgboost_Stacked,Xgboost,rmse,0.44485903009565503,63.22
14_LightGBM_GoldenFeatures_Stacked,LightGBM,rmse,0.4448154257954422,53.42
25_CatBoost_Stacked,CatBoost,rmse,0.44469809068672167,106.36
55_RandomForest_Stacked,Random Forest,rmse,0.4446616699297685,897.78
61_Xgboost_Stacked,Xgboost,rmse,0.4448636011484289,61.85
67_LightGBM_GoldenFeatures_SelectedFeatures_Stacked,LightGBM,rmse,0.4450134112924215,47.92
51_CatBoost_Stacked,CatBoost,rmse,0.4446765193335969,128.73
56_RandomForest_Stacked,Random Forest,rmse,0.44452948532744135,826.94
10_Xgboost_categorical_mix_Stacked,Xgboost,rmse,0.4448999337618867,63.06
14_LightGBM_Stacked,LightGBM,rmse,0.44477774995599967,47.77
74_CatBoost_Stacked,CatBoost,rmse,0.4445383525252245,136.83
75_RandomForest_Stacked,Random Forest,rmse,0.44463953064923306,1316.0
47_Xgboost_GoldenFeatures_Stacked,Xgboost,rmse,0.44494794341481386,53.12
68_LightGBM_GoldenFeatures_Stacked,LightGBM,rmse,0.44490640783379615,55.79
52_CatBoost_Stacked,CatBoost,rmse,0.44459652570096114,140.62
58_RandomForest_Stacked,Random Forest,rmse,0.44466259244669704,877.09
66_Xgboost_Stacked,Xgboost,rmse,0.4448144882089884,62.08
49_LightGBM_Stacked,LightGBM,rmse,0.44484785049002906,47.2
73_CatBoost_Stacked,CatBoost,rmse,0.4445393734948793,91.24
35_RandomForest_Stacked,Random Forest,rmse,0.4446556927505888,900.47
44_Xgboost_GoldenFeatures_Stacked,Xgboost,rmse,0.4449624264068179,70.92
48_LightGBM_GoldenFeatures_Stacked,LightGBM,rmse,0.4447911259373752,53.37
31_CatBoost_Stacked,CatBoost,rmse,0.4446267886946154,181.56
59_RandomForest_Stacked,Random Forest,rmse,0.4446081124483263,931.15
10_Xgboost_categorical_mix_GoldenFeatures_Stacked,Xgboost,rmse,0.4448508735525343,71.44
22_LightGBM_Stacked,LightGBM,rmse,0.44482160023126033,49.07
72_CatBoost_Stacked,CatBoost,rmse,0.44467036634384,188.76
37_RandomForest_Stacked,Random Forest,rmse,0.444661199789777,1225.08
Ensemble_Stacked,Ensemble,rmse,0.4442176994227032,64.06
