feature,shap_importance
사고유형,0.10797094989817017
holiday,0.04096347119550119
Cosine_Time,0.02965586959859184
도로형태,0.02446694510271008
사고발생횟수,0.021625978558272325
주차장개수,0.017872567629241866
시군구,0.013035682357505326
weekday,0.007380482624371725
구,0.006557013876380107
요일,0.005574024126209155
보호구역,0.004048118991444293
season,0.002751131617448178
설치개수,0.0025491594746590834
평지도로,0.0024924187422228064
군_달성군,0.0021552748624835126
기상상태,0.0018229066017685877
불법주정차,0.001544233134936125
어린이보호구역개수,0.0014399975120769914
군_북구,0.0014346017031547404
차량전용,0.001354953966008848
노면상태,0.0009419156510080422
군_남구,0.0006759105147443861
군_서구,0.00046736092441295075
군_중구,0.00024297115637649875
군_수성구,0.00023226974826441496
군_동구,0.00018546136618876919
군_달서구,0.0
