정류소아이디,모바일아이디,정류소명,영문명,시도,구군,동,경도,위도,경유노선수,경유노선
7041063502,4185,대구경북지방중소벤처기업청건너,Ministry of SMEs and Startups,대구광역시,달서구,월성2동,128.513775,35.82561667,1,성서1
7041063503,4179,대구경북지방중소벤처기업청앞,Ministry of SMEs and Startups,대구광역시,달서구,월성2동,128.51415,35.82561167,1,성서1-1
7041063600,4197,달성습지·대명유수지앞,Dalseong Wetland·Daemyeong retarding basin,대구광역시,달서구,월성2동,128.4921733,35.82367167,1,급행7
7041063700,4196,달성습지·대명유수지건너,Dalseong Wetland·Daemyeong retarding basin,대구광역시,달서구,월성2동,128.4924433,35.82542,2,"7250, 급행7"
7051000200,1048,대명공연거리건너,Daemyeong Performing Arts Street,대구광역시,남구,대명3동,128.5832386,35.85411348,7,"300, 306, 518, 609, 651, 남구1, 달서4-1"
7051000300,2226,대구보건고등학교앞,Daegu Health High School,대구광역시,달서구,두류1동,128.5741636,35.85763742,6,"618, 650, 706, 805, 836, 달서4-1"
7051000400,1223,대구보건고등학교건너,Daegu Health High School,대구광역시,남구,대명3동,128.5743992,35.85756707,7,"618, 650, 706, 805, 808, 836, 달서4"
7051000500,1003,굿모닝병원건너,Goodmorning hospital,대구광역시,달서구,두류1동,128.57392,35.854355,6,"618, 650, 706, 805, 836, 달서4-1"
7051000600,2236,경북여상건너,Kyongbuk Girls' Commercial High School,대구광역시,남구,대명2동,128.5907517,35.85512667,5,"349, 405, 410, 503, 649"
7051000700,2221,경북여상앞,Kyongbuk Girls' Commercial High School,대구광역시,남구,대명2동,128.590555,35.85560667,5,"349, 405, 410-1, 503, 649"
7051000800,571,서부정류장(관문시장건너),Seobu Bus Terminal,대구광역시,달서구,송현2동,128.5562683,35.83597333,8,"600, 609, 623, 649, 650, 706, 726, 836"
7051000900,2142,서부정류장(관문시장앞),Seobu Bus Terminal,대구광역시,남구,대명11동,128.5565933,35.83625167,6,"600, 609, 623, 649, 706, 남구1"
7051001000,9117,한영한마음아동병원앞,Hanyoung Children's Hospital,대구광역시,남구,대명11동,128.5557824,35.83484218,8,"600, 609, 650, 706, 726, 750, 836, 달성2"
7051001100,987,앞산궁도장앞,Apsan Archery Field,대구광역시,달서구,송현1동,128.5611136,35.8280999,1,달서4-1
7051001200,782,대덕문화전당앞,Daeduk Culture Center,대구광역시,남구,대명9동,128.577175,35.83197667,3,"410-1, 달서4, 달서4-1"
7051001300,777,앞산빨래터공원,Apsan Ppallaeteo Park,대구광역시,남구,대명11동,128.5648617,35.83265,2,"달서4, 달성2"
