feature,shap_importance
51_CatBoost_prediction,0.03471403534146566
Ensemble_prediction,0.03103489715543306
46_Xgboost_GoldenFeatures_prediction,0.01862055751015831
68_LightGBM_GoldenFeatures_prediction,0.016003525682462164
70_CatBoost_prediction,0.015692168018134632
41_Xgboost_prediction,0.013740607787439709
50_CatBoost_prediction,0.012558873334866693
61_Xgboost_prediction,0.010967097726288722
40_RandomForest_prediction,0.010462599126278877
67_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.009786652125087341
60_Xgboost_prediction,0.009214507439372783
74_CatBoost_prediction,0.00871372855352603
14_LightGBM_GoldenFeatures_prediction,0.008309875492663219
45_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.007606120184729076
47_Xgboost_GoldenFeatures_prediction,0.007483308305134321
44_Xgboost_GoldenFeatures_prediction,0.007473468994081909
10_Xgboost_categorical_mix_GoldenFeatures_prediction,0.007112668882396945
23_CatBoost_prediction,0.007046613291523916
65_Xgboost_prediction,0.006801412109725879
48_LightGBM_GoldenFeatures_prediction,0.006740502685630004
66_Xgboost_prediction,0.006441920376495909
59_RandomForest_prediction,0.006331377922064584
22_LightGBM_prediction,0.006317878128768372
36_RandomForest_prediction,0.006274649678822358
10_Xgboost_categorical_mix_prediction,0.006075695995645886
37_RandomForest_prediction,0.005998692243938938
25_CatBoost_prediction,0.005364604037953377
35_RandomForest_prediction,0.0043893538930436645
72_CatBoost_prediction,0.004335167232545352
56_RandomForest_prediction,0.0043068652116236665
31_CatBoost_prediction,0.004221809644186925
14_LightGBM_prediction,0.0038584503176176716
52_CatBoost_prediction,0.0037930348230155292
49_LightGBM_prediction,0.0037754949276760687
14_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0035475418217343286
64_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.0034279341107167445
75_RandomForest_prediction,0.003263361707466968
73_CatBoost_prediction,0.0032065660577434074
58_RandomForest_prediction,0.0031594962769125818
57_RandomForest_prediction,0.002821905580084888
55_RandomForest_prediction,0.002208342500856541
설치개수,0.0016762162580113507
시군구,0.0013869510350482182
어린이보호구역개수,0.0008497625839356891
구,0.0007550158693434989
사고유형,0.000548845666248085
주차장개수,0.0005303589820680603
사고발생횟수,0.0004896487930626976
요일,0.00030544624894895484
불법주정차,0.00023609399104569494
평지도로,0.0001955957660330681
보호구역,0.00013635662080978007
기상상태,0.00012245962760113794
holiday,0.00011764767724091224
군_수성구,8.107311919406849e-05
weekday,7.654440739046109e-05
season,7.105623600057163e-05
도로형태,6.946183644924445e-05
Cosine_Time,2.063721069717268e-05
군_중구,0.0
군_서구,0.0
차량전용,0.0
군_북구,0.0
군_동구,0.0
군_달성군,0.0
군_달서구,0.0
군_남구,0.0
노면상태,0.0
