feature,mean_importance
holiday,-0.00924250129957418
요일,-0.006626908275934751
weekday,-0.005047739611583291
사고발생횟수,-0.004907475670851991
주차장개수,-0.0041857558461734
설치개수,-0.002431184071324255
군_북구,-0.0008427568886011816
불법주정차,-0.0007706430371034134
기상상태,-0.0006857733252554788
노면상태,-0.0005686335142199184
군_수성구,-0.0005276433420941639
군_달서구,-0.0005001178519541405
평지도로,-0.0004998010828277
군_동구,-0.00046701296289000107
군_중구,-0.0003225114722263722
군_달성군,0.00023837851407693122
군_남구,0.00035883221485883966
군_서구,0.0007324010123732183
차량전용,0.000996821882178489
보호구역,0.00146337973120092
구,0.00235827614078703
어린이보호구역개수,0.004114671867672781
season,0.004657827612107068
시군구,0.0048227906506370655
Cosine_Time,0.012497209549695798
도로형태,0.012838839906961752
사고유형,0.020764737049373715
