feature,shap_importance
Ensemble_prediction,0.03741367214558377
68_LightGBM_GoldenFeatures_prediction,0.027613624619363238
51_CatBoost_prediction,0.024875847251920845
46_Xgboost_GoldenFeatures_prediction,0.02187593133898962
47_Xgboost_GoldenFeatures_prediction,0.01731398255485029
10_Xgboost_categorical_mix_GoldenFeatures_prediction,0.01071662275250218
48_LightGBM_GoldenFeatures_prediction,0.008920134459516057
45_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.008505161149580895
67_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.008046394009483804
66_Xgboost_prediction,0.007955293565539423
41_Xgboost_prediction,0.0076314784795060335
50_CatBoost_prediction,0.00735367714839296
61_Xgboost_prediction,0.0071581406148176815
65_Xgboost_prediction,0.007009598359696164
64_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.006963094858843876
31_CatBoost_prediction,0.006917463356833823
36_RandomForest_prediction,0.0067242952988372205
25_CatBoost_prediction,0.0063818106283499675
37_RandomForest_prediction,0.006026912704014078
14_LightGBM_GoldenFeatures_prediction,0.005982230825184864
44_Xgboost_GoldenFeatures_prediction,0.005919605923832088
52_CatBoost_prediction,0.005409496141390655
70_CatBoost_prediction,0.0049577219004104615
59_RandomForest_prediction,0.004935520914014155
72_CatBoost_prediction,0.004875142824426112
10_Xgboost_categorical_mix_prediction,0.004858288978089889
73_CatBoost_prediction,0.004616160238984511
23_CatBoost_prediction,0.004405365602113639
14_LightGBM_GoldenFeatures_SelectedFeatures_prediction,0.004257716144449107
14_LightGBM_prediction,0.004254030320288891
74_CatBoost_prediction,0.003916124831113317
49_LightGBM_prediction,0.003909816646387382
35_RandomForest_prediction,0.0037356009156026895
40_RandomForest_prediction,0.003634322741235756
60_Xgboost_prediction,0.0035699262729892325
75_RandomForest_prediction,0.0033517786061429064
22_LightGBM_prediction,0.0030134684725809757
56_RandomForest_prediction,0.002821729077570864
58_RandomForest_prediction,0.0025132318079109047
57_RandomForest_prediction,0.0023521024090119597
55_RandomForest_prediction,0.0018599717329583986
설치개수,0.0012221190173649853
구,0.0010691031396911283
시군구,0.0009235524308387179
불법주정차,0.0008615773458690159
사고발생횟수,0.0006239142060936383
보호구역,0.0005670818209265366
Cosine_Time,0.0005535049305626191
도로형태,0.0005239996159758649
요일,0.00037576339296090545
평지도로,0.000370658979654937
주차장개수,0.0003067956207430593
weekday,0.00027762544703888853
어린이보호구역개수,0.00025730793970623266
season,0.00021861629050978543
차량전용,0.00014595076518021836
군_중구,9.474647896929678e-05
군_북구,7.787417221000015e-05
holiday,6.931106270257335e-05
사고유형,5.5719197087072024e-05
군_달성군,5.2321212373623424e-05
군_동구,4.96838688080367e-05
기상상태,2.8093517546130044e-05
노면상태,1.935530789893063e-05
군_달서구,1.0300497036963e-05
군_서구,0.0
군_수성구,0.0
군_남구,0.0
