feature,shap_importance
사고유형,0.11317118043965672
holiday,0.03922914631094462
Cosine_Time,0.027901671509873424
도로형태,0.017442983873552732
사고발생횟수,0.006844113275543686
weekday,0.005174814584651015
주차장개수,0.0030621898728348074
구,0.002121811347202786
시군구,0.0017716011227202236
기상상태,0.0011175332004583335
평지도로,0.0008636065823971775
노면상태,0.0007936379193151798
요일,0.000760126935321074
설치개수,0.0007162914980464221
보호구역,0.0005913655135312659
season,0.00035168033696669033
불법주정차,0.00022667035549228808
차량전용,0.00020879351637418558
군_수성구,0.00016084131895051333
군_달성군,9.518681683109802e-05
어린이보호구역개수,7.801616089617868e-05
군_남구,0.0
군_달서구,0.0
군_동구,0.0
군_북구,0.0
군_서구,0.0
군_중구,0.0
