feature,shap_importance
사고유형,0.11106285411499402
holiday,0.038816131471474065
Cosine_Time,0.020312298361995707
도로형태,0.018513877634278652
사고발생횟수,0.006938514864112577
주차장개수,0.005325730677820414
weekday,0.0043142420054344734
구,0.002357174642418944
시군구,0.0016024425324403526
평지도로,0.0008069919180534638
불법주정차,0.0007368807518381464
차량전용,0.0007350148319555402
요일,0.0006697103878977916
보호구역,0.0006413772960890852
설치개수,0.0006090719748077342
기상상태,0.0005674478082131424
season,0.0005430766527551251
군_달성군,0.000527758114156841
노면상태,0.00026569674054457895
군_달서구,0.00010738343658712988
어린이보호구역개수,8.423591061512303e-05
군_북구,8.356618143306179e-05
군_서구,4.962738428600003e-05
군_중구,3.8940527881115274e-05
군_남구,2.2477566595745326e-05
군_수성구,1.8942827085990847e-05
군_동구,7.736682441274325e-06
