feature,shap_importance
사고유형,0.10961174952096735
holiday,0.0330702068247662
Cosine_Time,0.026121971033775282
도로형태,0.018748403108246544
사고발생횟수,0.006150686551811627
weekday,0.006058762702097769
주차장개수,0.00324366201861664
구,0.0031233064683453735
기상상태,0.001469358084662105
시군구,0.0009907414596011309
불법주정차,0.000804158283696837
설치개수,0.0007659575864357557
노면상태,0.0006627080879067064
보호구역,0.0006479367231959792
차량전용,0.0005676244216222676
season,0.0003717135891813069
군_달성군,0.0002870244798658812
평지도로,0.0002500410668267198
군_북구,0.00014108168900483925
요일,0.00013645497468396022
어린이보호구역개수,7.511856677552665e-05
군_남구,5.564667172527232e-05
군_중구,1.4441807486897605e-05
군_수성구,1.2346236433803352e-05
군_동구,0.0
군_서구,0.0
군_달서구,0.0
